CountryName,CountryCode,IndicatorName,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Ethiopia,ETH,"International tourism, expenditures (current US$)",30000000,30000000,48000000,51000000,57000000,80000000,50000000,55000000,63000000,59000000,77000000,97000000,107000000,156000000,139000000,143000000,170000000,181000000,,
Finland,FIN,"International tourism, expenditures (current US$)",2853000000,2760000000,2541000000,2565000000,2525000000,2293000000,2442000000,2438000000,2954000000,3383000000,3622000000,4099000000,4812000000,5579000000,5226000000,5267000000,6009000000,5839000000,5292000000,5286000000
Fiji,FJI,"International tourism, expenditures (current US$)",82000000,88000000,87000000,67000000,82000000,96000000,84000000,79000000,88000000,118000000,132000000,113000000,106000000,111000000,107000000,102000000,116000000,111000000,110000000,
France,FRA,"International tourism, expenditures (current US$)",20699000000,22049000000,17490000000,18819000000,22795000000,26703000000,26749000000,27808000000,32618000000,36029000000,38643000000,39299000000,46051000000,50361000000,45050000000,46704000000,55472000000,50087000000,53420000000,59377000000
"Micronesia, Fed. Sts.",FSM,"International tourism, expenditures (current US$)",,,5000000,5000000,5000000,5000000,5000000,5000000,6000000,7000000,7000000,7000000,7000000,7000000,26000000,28000000,27000000,30000000,29000000,
Gabon,GAB,"International tourism, expenditures (current US$)",182000000,168000000,156000000,158000000,195000000,183000000,256000000,234000000,239000000,275000000,346000000,,,,,,,,,
United Kingdom,GBR,"International tourism, expenditures (current US$)",30749000000,32297920000,35954000000,41458000000,45536000000,47009000000,46410000000,51125000000,58627000000,69076000000,74413000000,79389000000,89468000000,88448000000,66038000000,66658000000,70300000000,71417000000,73339000000,79935000000
Georgia,GEO,"International tourism, expenditures (current US$)",,,171000000,239000000,135000000,129000000,136000000,189000000,170000000,196000000,237000000,257000000,277000000,337000000,311000000,329000000,384000000,471000000,537000000,563000000
Ghana,GHA,"International tourism, expenditures (current US$)",74000000,59000000,61000000,145000000,151000000,162000000,165000000,184000000,216000000,270000000,472000000,575000000,816000000,870000000,948000000,882000000,1026000000,976000000,982000000,948000000
Guinea,GIN,"International tourism, expenditures (current US$)",29000000,37000000,39000000,34000000,29000000,13000000,26000000,38000000,36000000,29000000,38000000,41000000,96000000,30000000,28000000,17000000,49000000,41000000,61000000,
Greece,GRC,"International tourism, expenditures (current US$)",1495000000,1396000000,1537000000,1756000000,4014000000,4564000000,4189000000,2453000000,2439000000,2880000000,3045000000,3004000000,3430000000,3946000000,4120000000,3401000000,3807000000,3006000000,3768000000,4001000000
Grenada,GRD,"International tourism, expenditures (current US$)",5000000,5000000,6000000,6000000,7000000,8000000,8000000,8000000,8000000,9000000,10000000,16000000,16000000,11000000,10000000,10000000,10000000,11000000,11000000,
Guatemala,GTM,"International tourism, expenditures (current US$)",167000000,163000000,146000000,190000000,216000000,216000000,266000000,329000000,373000000,488000000,532000000,655000000,737000000,740000000,862000000,1002000000,935000000,920000000,952000000,1033000000
Guyana,GUY,"International tourism, expenditures (current US$)",21000000,65000000,69000000,69000000,82000000,77000000,62000000,44000000,30000000,30000000,40000000,49000000,58000000,52000000,52000000,73000000,79000000,82000000,81000000,77000000
"Hong Kong, China",HKG,"International tourism, expenditures (current US$)",10497000000,11461000000,12678000000,13474000000,13134000000,12502000000,12317000000,12418000000,11447000000,13270000000,13305000000,14044000000,15042000000,16095000000,15547000000,17357000000,19022000000,20077000000,21215000000,22032000000
Honduras,HND,"International tourism, expenditures (current US$)",99000000,110000000,115000000,142000000,166000000,198000000,205000000,221000000,274000000,300000000,321000000,425000000,309000000,385000000,361000000,406000000,446000000,549000000,506000000,509000000
Croatia,HRV,"International tourism, expenditures (current US$)",422000000,510000000,530000000,600000000,806000000,634000000,677000000,852000000,709000000,881000000,786000000,770000000,1025000000,1167000000,1042000000,861000000,918000000,962000000,923000000,865000000
Haiti,HTI,"International tourism, expenditures (current US$)",35000000,37000000,35000000,,,173000000,168000000,172000000,202000000,206000000,174000000,239000000,331000000,383000000,427000000,431000000,458000000,473000000,418000000,465000000
Hungary,HUN,"International tourism, expenditures (current US$)",1501000000,1491000000,1511000000,1496000000,1590000000,1722000000,1887000000,2211000000,2700000000,2482000000,2721000000,2319000000,3088000000,3857000000,3251000000,2897000000,3048000000,2457000000,2526000000,2718000000
