CountryName,CountryCode,IndicatorName,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Greece,GRC,"Population, total",10634385,10709173,10776504,10834880,10882580,10917482,10951764,10983723,11018324,11055729,11092913,11127947,11163002,11186439,11187085,11153454,11123213,11092771,11027549,10869637
Grenada,GRD,"Population, total",100253,100796,101125,101302,101441,101620,101849,102100,102371,102657,102951,103259,103587,103934,104298,104677,105070,105476,105902,106349
Guatemala,GTM,"Population, total",10357354,10612300,10871786,11136814,11408815,11688660,11976725,12272208,12573346,12877711,13183505,13490041,13797629,14106687,14418033,14732261,15049280,15368759,15690793,16015494
Guyana,GUY,"Population, total",726695,730193,733854,737316,740189,742218,743163,743107,742537,742162,742495,743705,745638,748096,750749,753362,755883,758410,761033,763893
"Hong Kong, China",HKG,"Population, total",6156100,6435500,6489300,6543700,6606500,6665000,6714300,6744100,6730800,6783500,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7154600,7187500,7241700
Honduras,HND,"Population, total",5591136,5724587,5855946,5985675,6114534,6243080,6371304,6499001,6626304,6753352,6880181,7007029,7133737,7259470,7383098,7503875,7621414,7736131,7849059,7961680
Croatia,HRV,"Population, total",4669000,4494000,4572000,4501000,4554000,4426000,4440000,4440000,4440000,4439000,4442000,4440000,4436000,4434508,4429078,4417781,4280622,4267558,4255689,4238389
Haiti,HTI,"Population, total",7819806,7965548,8111954,8258484,8404396,8549202,8692564,8834739,8976555,9119182,9263409,9409479,9556958,9705130,9852953,9999617,10144890,10288828,10431249,10572029
Hungary,HUN,"Population, total",10328965,10311238,10290486,10266570,10237530,10210971,10187576,10158608,10129552,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9893082,9863183
Indonesia,IDN,"Population, total",196957845,199926615,202853850,205753493,208644079,211540428,214448301,217369087,220307809,223268606,226254703,229263980,232296830,235360765,238465165,241613126,244808254,248037853,251268276,254454778
India,IND,"Population, total",960874982,979290432,997817250,1016402907,1034976626,1053481072,1071888190,1090189358,1108369577,1126419321,1144326293,1162088305,1179685631,1197070109,1214182182,1230984504,1247446011,1263589639,1279498874,1295291543
Ireland,IRL,"Population, total",3608841,3637510,3674171,3712696,3754786,3805174,3866243,3931947,3996521,4070262,4159914,4273591,4398942,4489544,4535375,4560155,4576794,4586897,4598294,4615693
"Iran, Islamic Rep.",IRN,"Population, total",60318632,61306632,62426086,63616065,64780362,65850062,66812736,67696677,68522074,69321953,70122115,70923164,71720859,72530693,73370982,74253373,75184322,76156975,77152445,78143644
Iraq,IRQ,"Population, total",20217759,20855408,21519356,22200835,22888600,23574751,24258794,24943793,25630426,26320530,27017712,27716983,28423538,29163327,29970634,30868156,31810191,32780975,33781385,34812326
Iceland,ISL,"Population, total",267468,268916,271128,274047,277381,281205,284968,287523,289521,292074,296734,303782,311566,317414,318499,318041,319014,320716,323764,327386
Israel,ISR,"Population, total",5545000,5692000,5836000,5971000,6125000,6289000,6439000,6570000,6689700,6809000,6930100,7053700,7180100,7308800,7485600,7623600,7765800,7910500,8059500,8215700
Italy,ITA,"Population, total",56844303,56860281,56890372,56906744,56916317,56942108,56974100,57059007,57313203,57685327,57969484,58143979,58438310,58826731,59095365,59277417,59379449,59539717,60233948,60789140
Jamaica,JAM,"Population, total",2480000,2509923,2534069,2556780,2574289,2589389,2605556,2615253,2624695,2634145,2643601,2653042,2662481,2671934,2681386,2690824,2699838,2707805,2714734,2720554
Jordan,JOR,"Population, total",4195000,4325000,4444000,4564000,4680000,4797000,4917000,5038000,5164000,5290000,5411000,5536000,5661000,5786000,5915000,6046000,6181000,6318000,6460000,6607000
Japan,JPN,"Population, total",125439000,125757000,126057000,126400000,126631000,126843000,127149000,127445000,127718000,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127817277,127561489,127338621,127131800
Kazakhstan,KAZ,"Population, total",15815626,15577894,15333703,15071300,14928426,14883626,14858335,14858948,14909018,15012985,15147029,15308084,15484192,15674000,16092701,16321581,16556600,16791425,17035275,17289224
Kenya,KEN,"Population, total",27373035,28116027,28842245,29564614,30301240,31065820,31863280,32691980,33551079,34437460,35349040,36286015,37250540,38244442,39269988,40328313,41419954,42542978,43692881,44863583
